爱好	sở thích
认知	nhận thức
任命	bổ nhiệm
任期	nhiệm kỳ
任人宰割	chịu để người khác chèn ép
任意	tùy ý
任职	nhậm chức, đảm nhiệm
韧性	tính dẻo dai
日程	lịch trình
日复一日	ngày qua ngày
日后	sau này
日前	mới đây
日趋	ngày càng
日新月异	thay đổi từng ngày
日益	ngày càng
荣获	vinh dự giành được
荣幸	vinh hạnh
荣誉	vinh dự, danh dự
容光焕发	rạng rỡ, hồng hào
容量	dung lượng
容纳	chứa đựng, sức chứa
容忍	dung thứ, chịu đựng
容许	cho phép
容颜	dung nhan
溶解	hòa tan
融化	tan chảy
融洽	hòa hợp, hòa thuận
冗长	dài dòng, lê thê
柔和	dịu dàng, mềm mại
柔软	mềm mại
如果说	nếu như
如实	đúng như thực tế
如意	như ý
如愿以偿	toại nguyện
如醉如痴	say mê như điên
儒家	Nho gia
儒学	Nho học
入场	vào cửa, nhập trường
入场券	vé vào cửa
入境	nhập cảnh
入侵	xâm nhập
入手	bắt đầu từ
入选	được chọn
软弱	yếu đuối
软实力	sức mạnh mềm
瑞雪	tuyết lành
若干	một số, vài
弱点	điểm yếu
弱势	yếu thế
撒谎	nói dối
赛车	đua xe
赛跑	chạy đua
三番五次	năm lần bảy lượt
三角	tam giác
三维	ba chiều
散布	rải rác, phát tán
散发	tỏa ra, phát ra
桑拿	xông hơi (sauna)
嗓子	cổ họng, giọng
丧生	mất mạng, thiệt mạng
骚乱	bạo loạn, náo loạn
骚扰	quấy rối
扫除	quét dọn, xóa bỏ
扫描	quét, scan
扫墓	tảo mộ
扫兴	mất hứng, cụt hứng
嫂子	chị dâu
僧人	nhà sư
杀害	sát hại
杀手	sát thủ
沙龙	salon
沙滩	bãi biển
刹车	phanh, thắng xe
砂糖	đường cát
鲨鱼	cá mập
傻瓜	kẻ ngốc
筛选	sàng lọc
晒太阳	phơi nắng
山川	sông núi
山顶	đỉnh núi
山冈	gò đồi
山岭	dãy núi
山路	đường núi
山寨	hàng nhái
删除	xóa
煽动	kích động
闪烁	lấp lánh, nhấp nháy
善意	thiện ý
擅长	sở trường, giỏi về
擅自	tự tiện
膳食	khẩu phần ăn
赡养	phụng dưỡng
伤残	thương tật, tàn phế
伤感	buồn cảm, sầu cảm
伤痕	vết sẹo, vết thương
伤脑筋	đau đầu (vì việc gì)
伤势	tình trạng vết thương
商贩	tiểu thương
商贾	thương gia
商讨	bàn bạc, thảo luận
上报	báo cáo lên cấp trên
上场	ra sân, lên sân khấu
上方	phía trên
上岗	nhận nhiệm sở, vào ca
上火	nóng trong người, bực bội
上空	trên không, bầu trời
上流	thượng lưu
上期	kỳ trước
上任	nhậm chức, tiền nhiệm
上述	nói trên, đã nêu trên
上司	cấp trên, sếp
上诉	kháng cáo
上调	tăng giá, điều chỉnh tăng
上头	ngấm vào đầu, say
上限	giới hạn trên
上旬	đầu tháng
上瘾	nghiện, gây nghiện
上映	công chiếu
上游	thượng nguồn
尚未	chưa, vẫn chưa
烧毁	thiêu hủy
烧烤	nướng, đồ nướng
稍后	lát nữa
稍候	chờ một lát
稍稍	hơi, một chút
少不了	không thể thiếu
少见	hiếm thấy
少量	một ít, một lượng nhỏ
少有	hiếm có
少林寺	chùa Thiếu Lâm
少女	thiếu nữ
奢侈	xa xỉ
奢望	mơ tưởng viển vông
设定	thiết lập, cài đặt
设法	tìm cách
社会主义	chủ nghĩa xã hội
社交	giao tiếp xã hội
社论	xã luận
社团	đoàn thể, hội nhóm
涉嫌	bị tình nghi
摄氏度	độ C
谁知道	ai mà biết được
申办	xin đăng cai
申报	khai báo
申领	xin cấp
伸手	chìa tay ra
伸缩	co giãn
伸张	đề cao, phát huy
身不由己	thân bất do kỷ
身价	thân giá, địa vị
身躯	thân thể
身心	thân tâm
身影	bóng dáng
身子	thân thể, cơ thể
绅士	quý ông
深奥	thâm sâu, uyên áo
深切	sâu sắc, tha thiết
深情	tình cảm sâu đậm
深入人心	ăn sâu vào lòng người
深受	chịu ảnh hưởng sâu sắc
深思	suy nghĩ sâu xa
深信	tin chắc
深夜	đêm khuya
深远	sâu xa, lâu dài
神气	vẻ oai vệ
神圣	thần thánh, thiêng liêng
神态	thần thái, dáng vẻ
神仙	thần tiên
审定	thẩm định
审核	thẩm tra, kiểm duyệt
审美	thẩm mỹ
审判	xét xử
审批	thẩm định phê duyệt
审视	xem xét kỹ
甚至于	thậm chí
渗透	thẩm thấu, thâm nhập
慎重	thận trọng
升温	tăng nhiệt, nóng lên
生机	sức sống, sinh cơ
生理	sinh lý
生命线	huyết mạch, đường sống
生怕	rất sợ, e rằng
生平	cả đời, cuộc đời
生前	lúc còn sống
生死	sống chết
生态	sinh thái
生物	sinh vật
生效	có hiệu lực
生涯	sự nghiệp, cuộc đời
生硬	cứng nhắc, gượng gạo
生育	sinh đẻ
声称	tuyên bố, khẳng định
声望	danh vọng, uy tín
声誉	danh tiếng
牲畜	gia súc
绳子	dây thừng
省略	lược bỏ
省事	đỡ rắc rối, tiện lợi
圣贤	thánh hiền
胜出	giành chiến thắng
胜任	đảm đương được
盛大	long trọng, hoành tráng
盛会	đại hội, sự kiện lớn
盛开	nở rộ
盛气凌人	hống hách, lên mặt
剩余	dư thừa, còn lại
尸体	thi thể, xác chết
失传	thất truyền
失控	mất kiểm soát
失利	thất bại, thua
失恋	thất tình
失灵	hỏng, trục trặc
失落	mất mát, hụt hẫng
失眠	mất ngủ
失明	mù lòa
失效	mất hiệu lực
失业率	tỷ lệ thất nghiệp
失踪	mất tích
师范	sư phạm
师长	thầy giáo
师资	đội ngũ giáo viên
狮子	sư tử
施工	thi công
施加	gây ra, tác động
施行	thi hành
施压	gây áp lực
湿度	độ ẩm
湿润	ẩm ướt
十字路口	ngã tư
时不时	thỉnh thoảng
时段	khung giờ
时隔	cách nhau (một khoảng thời gian)
时好时坏	lúc tốt lúc xấu
时间表	thời gian biểu
时空	không gian và thời gian
时髦	thời thượng, hợp mốt
时尚	thời trang, thịnh hành
时速	tốc độ mỗi giờ
识别	nhận dạng, phân biệt
实地	tại chỗ, thực địa
实话	lời thật
实话实说	nói thật
实况	tình hình thực tế
实事求是	thực sự cầu thị
实体	thực thể
实物	vật thật, hiện vật
实质	thực chất
食宿	ăn ở
食用	dùng để ăn
史无前例	chưa từng có trong lịch sử
使唤	sai khiến
使命	sứ mệnh
使者	sứ giả
士气	sĩ khí, tinh thần
示威	biểu tình
示意	ra hiệu, gợi ý
世代	nhiều thế hệ
世故	từng trải, lọc lõi
世界级	đẳng cấp thế giới
世袭	cha truyền con nối
市场经济	kinh tế thị trường
势必	ắt hẳn, tất sẽ
势不可当	thế không thể cản nổi
势头	đà, xu thế
事迹	sự tích, thành tích
事态	tình thế, tình hình
事务	sự vụ, công việc
事务所	văn phòng (luật sư, kế toán)
事项	hạng mục, việc cần làm
事宜	công việc, vấn đề liên quan
侍候	hầu hạ, phục vụ
试探	dò xét, thăm dò
试行	thử nghiệm
试用	dùng thử
试用期	thời gian thử việc
视察	thị sát, thanh tra
视角	góc nhìn
视觉	thị giác
视力	thị lực
视线	tầm nhìn
视野	tầm mắt, tầm nhìn
柿子	quả hồng
是非	phải trái, thị phi
适度	vừa phải
适量	vừa đủ
适时	đúng lúc, kịp thời
适宜	thích hợp
逝世	qua đời
释放	thả, phóng thích
嗜好	sở thích, thói nghiện
收复	thu hồi, chiếm lại
收据	biên lai
收敛	thu liễm, kiềm chế
收留	thu nhận, cưu mang
收买	mua chuộc
收视率	tỷ suất người xem
收缩	co lại, thu hẹp
收支	thu chi
手臂	cánh tay
手册	sổ tay, cẩm nang
手动	thủ công, bằng tay
手脚	tay chân, hành động
手帕	khăn tay
手枪	súng lục
手势	cử chỉ tay
手术室	phòng phẫu thuật
手头	trong tay, hiện có
手腕	cổ tay, thủ đoạn
手艺	tay nghề
手掌	lòng bàn tay
守候	chờ đợi, canh giữ
守护	bảo vệ, canh giữ
守株待兔	ôm cây đợi thỏ
首创	khởi xướng đầu tiên
首府	thủ phủ
首批	đợt đầu tiên
首饰	trang sức
首要	quan trọng nhất
寿命	tuổi thọ
受过	chịu tội thay
受害	bị hại
受害人	nạn nhân
受贿	nhận hối lộ
受惊	giật mình, hoảng sợ
受苦	chịu khổ
受理	tiếp nhận xử lý
受骗	bị lừa
受益	được lợi, hưởng lợi
授权	ủy quyền
授予	trao tặng, cấp
售价	giá bán
售票	bán vé
书橱	tủ sách
书籍	sách vở
书记	bí thư
书面	bằng văn bản
书写	viết
抒情	trữ tình
枢纽	đầu mối, trung tâm
梳理	chải, sắp xếp lại
梳子	lược
舒畅	thoải mái, dễ chịu
疏导	khơi thông, hướng dẫn
疏忽	sơ suất, lơ là
疏散	sơ tán
疏通	khơi thông
输家	kẻ thua cuộc
输送	vận chuyển
输血	truyền máu
输液	truyền dịch
暑期	kỳ nghỉ hè
属性	thuộc tính
曙光	tia hy vọng, ánh bình minh
束缚	ràng buộc, trói buộc
树立	xây dựng, thiết lập
树木	cây cối
树梢	ngọn cây
树荫	bóng cây
树枝	cành cây
数额	số lượng, số tiền
数据库	cơ sở dữ liệu
刷新	làm mới, cập nhật
耍赖	chơi xấu, lật lọng
衰减	suy giảm
衰竭	suy kiệt
衰老	già yếu, lão hóa
衰弱	suy nhược
衰退	suy thoái
摔跤	ngã, vật (đấu vật)
双胞胎	sinh đôi
双边	song phương
双重	kép, gấp đôi
双向	hai chiều
双赢	đôi bên cùng có lợi
爽快	sảng khoái, thẳng thắn
水槽	bồn rửa
水稻	lúa nước
水管	ống nước
水壶	bình nước, ấm nước
水货	hàng xách tay, hàng lậu
水晶	pha lê
水利	thủy lợi
水龙头	vòi nước
水落石出	sự thật sáng tỏ
水面	mặt nước
水手	thủy thủ
水温	nhiệt độ nước
水域	vùng nước
水源	nguồn nước
水涨船高	nước lên thuyền lên
水准	trình độ, mức độ
税收	thuế thu được
税务	thuế vụ
睡袋	túi ngủ
顺便	tiện thể
顺差	thặng dư thương mại
顺畅	suôn sẻ, thông suốt
顺从	vâng lời, phục tùng
顺理成章	hợp lý, đương nhiên
顺路	tiện đường
顺其自然	thuận theo tự nhiên
顺势	thuận đà, nhân cơ hội
顺手	tiện tay
顺心	vừa lòng, như ý
顺应	thuận theo
顺着	theo, dọc theo
瞬间	trong khoảnh khắc
说白了	nói thẳng ra
说不上	không đáng nói
说到底	suy cho cùng
说道	nói rằng
说干就干	nói là làm
说谎	nói dối
说老实话	nói thật lòng
说情	xin tha, nói giúp
说闲话	nói chuyện phiếm
说真的	nói thật
硕果	thành quả lớn
司法	tư pháp
司空见惯	chuyện thường thấy
司令	tư lệnh
丝绸	lụa
丝毫	một chút, mảy may
私房钱	tiền riêng, quỹ đen
私家车	xe riêng
私立	tư thục
私事	việc riêng
私下	riêng tư, ngấm ngầm
私营	tư doanh
私有	sở hữu tư nhân
私自	tự ý
思路	mạch suy nghĩ
思念	nhớ nhung
思前想后	suy trước tính sau
思索	suy nghĩ, trăn trở
死心	từ bỏ ý định
死心塌地	một lòng một dạ
四合院	tứ hợp viện
四季	bốn mùa
四面八方	khắp bốn phương
寺庙	chùa miếu
似曾相识	cảm giác quen thuộc
似是而非	có vẻ đúng mà thực ra sai
伺机	chờ thời cơ
饲料	thức ăn chăn nuôi
饲养	nuôi dưỡng
松绑	cởi trói, nới lỏng
松弛	lỏng lẻo, thư giãn
耸立	sừng sững
送别	tiễn biệt
搜查	lục soát
搜集	thu thập
搜救	tìm kiếm cứu nạn
搜寻	tìm kiếm
苏醒	tỉnh lại
俗话	tục ngữ
俗话说	tục ngữ có câu
俗语	tục ngữ
诉苦	than vãn, kể khổ
诉说	kể lể, thổ lộ
诉讼	kiện tụng
素不相识	hoàn toàn xa lạ
素材	tư liệu, chất liệu
素描	vẽ phác thảo
素食	ăn chay
素养	tố chất, tu dưỡng
塑造	khắc họa, tạo hình
算计	tính toán
算盘	bàn tính, toan tính
算账	tính sổ
虽说	tuy rằng
随处可见	thấy khắp nơi
随大溜	theo số đông
随机	ngẫu nhiên, tùy cơ
随即	ngay sau đó
随身	mang theo bên mình
随时随地	bất cứ lúc nào, ở đâu
随心所欲	tùy thích, theo ý muốn
遂心	vừa ý
隧道	đường hầm
损坏	hư hỏng
损人利己	hại người lợi mình
损伤	tổn thương
缩水	co rút, giảm sút
缩影	hình ảnh thu nhỏ
所属	trực thuộc
所谓	cái gọi là
所作所为	hành vi, việc làm
索赔	đòi bồi thường
索取	đòi hỏi, yêu cầu
索性	thà rằng, dứt khoát
锁定	khóa lại, cố định
他人	người khác
踏上	đặt chân lên
胎儿	thai nhi
台球	bi-a
太极	thái cực
太极拳	thái cực quyền
太平	thái bình, yên ổn
泰斗	bậc thầy hàng đầu
贪婪	tham lam
贪玩儿	ham chơi
贪污	tham ô
瘫痪	bại liệt, tê liệt
谈不上	chưa đáng gọi là
谈到	nói đến, đề cập
谈论	bàn luận
谈起	nhắc đến
弹性	tính đàn hồi, linh hoạt
坦白	thành thật, thú nhận
坦诚	chân thành, thẳng thắn
坦克	xe tăng
坦然	thản nhiên
坦率	thẳng thắn
毯子	chăn, mền
探测	dò tìm, thăm dò
探亲	về thăm nhà
探求	tìm tòi, khám phá
探望	thăm hỏi
探险	thám hiểm
汤圆	bánh trôi
糖果	kẹo
糖尿病	bệnh tiểu đường
倘若	nếu như
掏钱	móc tiền ra trả
滔滔不绝	nói thao thao bất tuyệt
逃避	trốn tránh
逃生	thoát thân
逃亡	chạy trốn, lưu vong
陶瓷	gốm sứ
陶冶	tôi luyện, bồi dưỡng
陶醉	say mê, ngây ngất
淘气	nghịch ngợm
淘汰	đào thải, loại bỏ
讨好	lấy lòng, nịnh bợ
讨价还价	mặc cả
讨人喜欢	dễ mến, được lòng người
特产	đặc sản
特长	sở trường
特例	trường hợp đặc biệt
特权	đặc quyền
特邀	mời đặc biệt
特制	chế tạo đặc biệt
特质	đặc tính, đặc trưng
藤椅	ghế mây
剔除	loại bỏ
梯子	cái thang
提拔	đề bạt, cất nhắc
提炼	tinh chế, chiết xuất
提名	đề cử
提速	tăng tốc
提心吊胆	nơm nớp lo sợ
提议	đề nghị, đề xuất
提早	sớm hơn dự kiến
体谅	thông cảm
体面	thể diện, đàng hoàng
体能	thể lực
体贴	chu đáo, ân cần
体温	thân nhiệt
体系	hệ thống
体制	thể chế
体质	thể chất
替换	thay thế
替身	người đóng thế
天长地久	trường tồn mãi mãi
天地	trời đất, thế giới
天鹅	thiên nga
天分	thiên phú, năng khiếu
天赋	thiên phú, bẩm sinh
天经地义	lẽ đương nhiên
天平	cái cân
天桥	cầu vượt
天生	bẩm sinh
天使	thiên thần
天线	ăng-ten
天性	bản tính
天主教	Công giáo
添加	thêm vào
甜美	ngọt ngào
甜蜜	ngọt ngào, hạnh phúc
甜头	vị ngọt, lợi ích
填补	lấp đầy, bổ khuyết
填充	nhồi, lấp đầy
填写	điền vào (biểu mẫu)
挑剔	khó tính, kén chọn
条款	điều khoản
条例	điều lệ, quy định
条约	hiệp ước
调侃	trêu chọc, giễu cợt
调控	điều tiết, điều chỉnh
调料	gia vị
调试	kiểm tra, gỡ lỗi
挑起	khơi mào, kích động
挑衅	khiêu khích
跳槽	nhảy việc
跳动	đập, nhảy (nhịp tim)
跳伞	nhảy dù
跳跃	nhảy vọt
贴近	gần gũi, sát gần
贴切	sát nghĩa, thích hợp
帖子	bài đăng, thiệp mời
听从	nghe theo, tuân theo
听话	ngoan, nghe lời
停泊	neo đậu
停车位	chỗ đậu xe
停电	mất điện
停顿	ngừng lại, khựng lại
停放	đỗ, để (xe)
停业	ngừng kinh doanh
通畅	thông suốt
通车	thông xe
通风	thông gió
通告	thông báo
通缉	truy nã
通顺	trôi chảy, mạch lạc
通俗	thông tục, dễ hiểu
通通	tất cả, hoàn toàn
通往	dẫn đến
通宵	suốt đêm
通行证	giấy thông hành
同伴	bạn đồng hành
同步	đồng bộ
同等	ngang hàng, tương đương
同感	đồng cảm
同伙	đồng bọn
同类	cùng loại
同盟	đồng minh
同年	cùng năm
同人	đồng nhân, cùng giới/nghề
同志	đồng chí
同舟共济	đồng lòng vượt khó
统筹	quy hoạch tổng thể
统统	tất cả
统治	thống trị
痛心	đau lòng
偷看	nhìn trộm
偷窥	nhìn trộm, dòm ngó
偷懒	lười biếng
头部	đầu
头顶	đỉnh đầu
头号	số một, hạng nhất
头条	tin đầu trang, headline
头头是道	rành mạch, có lý có lẽ
头衔	chức danh
头晕	chóng mặt
投奔	tìm nơi nương tựa
投稿	gửi bài đăng báo
投机	đầu cơ, hợp ý nhau
投射	ném, chiếu (ánh sáng)
投身	dấn thân vào
投降	đầu hàng
透彻	thấu đáo
透过	xuyên qua, thông qua
透气	thoáng khí
透支	thấu chi
凸显	nổi bật, làm nổi rõ
突发	đột phát, bất ngờ xảy ra
突击	đột kích
突破口	điểm đột phá
突如其来	bất ngờ ập đến
图表	biểu đồ
图像	hình ảnh
图形	hình vẽ, đồ hình
图纸	bản vẽ thiết kế
徒步	đi bộ
屠杀	tàn sát
土匪	thổ phỉ
土壤	đất đai, thổ nhưỡng
土生土长	sinh ra và lớn lên tại chỗ
团伙	băng nhóm
团聚	đoàn tụ
团员	đoàn viên
团圆	đoàn viên, sum họp
推测	suy đoán
推辞	từ chối
推断	suy luận, suy đoán
推翻	lật đổ
推荐	giới thiệu, tiến cử
推理	suy luận
推敲	cân nhắc kỹ càng
推算	tính toán, suy tính
推卸	đùn đẩy trách nhiệm
推选	bầu chọn
推移	trôi qua, biến chuyển
颓废	suy đồi, chán nản
退回	trả lại
退却	rút lui
退让	nhượng bộ
退缩	chùn bước
退休金	lương hưu
退学	thôi học
退役	giải ngũ, giải nghệ
托付	phó thác
拖累	liên lụy, vướng bận
拖欠	nợ nần dây dưa
拖延	trì hoãn
脱节	đứt đoạn, không ăn khớp
脱口而出	buột miệng nói ra
脱落	rụng, rơi ra
脱身	thoát thân
脱颖而出	nổi trội, vượt trội hơn hẳn
妥当	thỏa đáng, ổn thỏa
妥善	thỏa đáng, chu đáo
妥协	thỏa hiệp
拓宽	mở rộng
拓展	mở rộng, phát triển
唾液	nước bọt
挖掘	khai quật, khai thác
挖苦	mỉa mai, châm biếm
歪曲	xuyên tạc, bóp méo
外表	bề ngoài
外公	ông ngoại
外行	ngoại đạo, tay ngang
外号	biệt danh
外籍	quốc tịch nước ngoài
外贸	ngoại thương
外貌	diện mạo
外婆	bà ngoại
外企	doanh nghiệp nước ngoài
外星人	người ngoài hành tinh
外形	hình dáng bên ngoài
外援	ngoại viện, cầu thủ ngoại
完备	hoàn bị, đầy đủ
完毕	hoàn tất, xong
完蛋	toi rồi, hỏng bét
完好	nguyên vẹn
玩耍	vui chơi, nô đùa
玩意儿	đồ chơi, thứ đồ
顽固	ngoan cố, cứng đầu
挽回	vãn hồi, cứu vãn
挽救	cứu vãn
晚间	buổi tối
晚年	tuổi già
晚期	giai đoạn cuối
惋惜	tiếc nuối
万分	vô cùng, hết sức
万古长青	mãi mãi trường tồn
万能	vạn năng
万万	tuyệt đối, nhất định
万无一失	chắc chắn không sai sót
汪洋	biển cả mênh mông
亡羊补牢	mất bò mới lo làm chuồng
王国	vương quốc
王牌	át chủ bài
网点	điểm giao dịch, mạng lưới chi nhánh
网民	cư dân mạng
往常	thường ngày
往返	đi lại, khứ hồi
往日	ngày trước, ngày xưa
往事	chuyện xưa
妄想	vọng tưởng, mơ tưởng hão huyền
忘不了	không thể quên
忘掉	quên đi
旺季	mùa cao điểm
旺盛	sung mãn, mạnh mẽ
望远镜	kính viễn vọng, ống nhòm
危及	đe dọa, gây nguy hiểm cho
危急	nguy cấp
威风	oai phong
威力	uy lực, sức mạnh
威慑	uy hiếp, răn đe
威信	uy tín
微不足道	không đáng kể
微观	vi mô
微妙	vi diệu, tinh tế
微弱	yếu ớt
微型	loại nhỏ, mini
为人	cách cư xử, tính cách
违背	trái với, vi phạm
违约	vi phạm hợp đồng
违章	vi phạm quy định
围墙	tường rào, tường bao
唯独	chỉ riêng, duy chỉ có
伪造	làm giả, ngụy tạo
伪装	ngụy trang, giả vờ
尾气	khí thải
尾声	hồi kết, đoạn cuối
纬度	vĩ độ
委屈	ấm ức, tủi thân
委婉	uyển chuyển, khéo léo
委员	ủy viên
委员会	ủy ban
萎缩	teo lại, suy thoái
卫视	đài truyền hình vệ tinh
未成年人	người vị thành niên
未经	chưa qua, chưa được phép
未免	quả là, không tránh khỏi
未知数	ẩn số
位子	chỗ ngồi, vị trí
味精	bột ngọt, mì chính
畏惧	sợ hãi
畏缩	rụt rè, chùn bước
胃口	khẩu vị, sở thích
喂养	nuôi dưỡng, cho ăn
慰劳	úy lạo, thăm hỏi động viên
温度计	nhiệt kế
温泉	suối nước nóng
温柔	dịu dàng
温室	nhà kính
温习	ôn tập
温馨	ấm áp
瘟疫	dịch bệnh
文具	văn phòng phẩm
文科	khoa xã hội, văn khoa
文盲	mù chữ
文凭	văn bằng
文人	văn nhân
文物	di vật văn hóa, cổ vật
文献	tài liệu, văn hiến
文雅	nho nhã, thanh lịch
闻名	nổi tiếng
蚊帐	màn chống muỗi
蚊子	con muỗi
吻合	khớp nhau, trùng khớp
紊乱	rối loạn
稳固	vững chắc
稳健	vững vàng, ổn định
稳妥	chắc chắn, ổn thỏa
稳重	chín chắn, điềm đạm
问卷	phiếu khảo sát
问世	ra đời, ra mắt
污秽	dơ bẩn, ô uế
巫婆	mụ phù thủy
呜咽	nức nở, thút thít
屋顶	mái nhà
无比	vô cùng
无不	không gì là không
无偿	miễn phí, không đòi báo đáp
无敌	vô địch
无恶不作	làm đủ điều ác
无非	chẳng qua là
无辜	vô tội
无故	vô cớ
无关紧要	không quan trọng
无话可说	không còn gì để nói
无济于事	vô ích, chẳng giúp được gì
无家可归	vô gia cư
无精打采	ủ rũ, uể oải
无可奉告	miễn bình luận
无可奈何	đành bó tay, bất lực
无理	vô lý
无力	bất lực, không đủ sức
无论如何	dù thế nào đi nữa
无能	bất tài
无能为力	bất lực, không làm được gì
无情	vô tình, tàn nhẫn
无情无义	vô tình vô nghĩa
无穷	vô tận
无私	vô tư, không vụ lợi
无所事事	rảnh rỗi không việc gì làm
无所作为	không làm nên trò trống gì
无条件	vô điều kiện
无微不至	chăm sóc chu đáo tỉ mỉ
无线	không dây
无线电	vô tuyến điện, radio
无形	vô hình
无形中	vô hình trung
无须	không cần, khỏi phải
无意	vô ý, không cố ý
无忧无虑	vô tư không lo lắng
无缘	không có duyên, không có cơ hội
无知	vô tri, dốt nát
无足轻重	không đáng kể
五花八门	đủ loại, muôn hình muôn vẻ
五星级	năm sao
武力	vũ lực
武装	vũ trang
侮辱	sỉ nhục, làm nhục
舞厅	vũ trường
务必	nhất định phải
务实	thiết thực
物流	hậu cần, logistics
物体	vật thể
物证	vật chứng
物资	vật tư
误差	sai số
误导	dẫn dắt sai, gây hiểu lầm
误区	nhận thức sai lầm, ngộ nhận
吸纳	hấp thu, thu nạp
吸取	rút ra (bài học), hấp thu
昔日	ngày xưa
息息相关	liên quan mật thiết
稀罕	hiếm có, quý hiếm
稀奇	hiếm lạ
稀少	thưa thớt, hiếm hoi
熙熙攘攘	tấp nập, nhộn nhịp
熄火	tắt máy, tắt lửa
膝盖	đầu gối
嬉笑	cười đùa
习俗	phong tục
席位	ghế, số ghế
袭击	tập kích, tấn công bất ngờ
媳妇	con dâu, vợ
洗涤剂	chất tẩy rửa
洗礼	lễ rửa tội, trải nghiệm thử thách
喜出望外	mừng rỡ ngoài mong đợi
喜好	sở thích
喜酒	rượu cưới, tiệc cưới
喜怒哀乐	hỉ nộ ái ố
喜庆	vui mừng, hỷ sự
喜事	việc vui, hỷ sự
喜糖	kẹo cưới
喜洋洋	hớn hở, tràn đầy niềm vui
喜悦	vui mừng
细腻	tinh tế, mịn màng
细微	nhỏ nhặt, tinh vi
细心	cẩn thận, tỉ mỉ
侠义	nghĩa hiệp
峡谷	hẻm núi
狭隘	hẹp hòi, chật hẹp
狭小	nhỏ hẹp
狭窄	chật hẹp
下场	kết cục
下跌	sụt giảm
下岗	thôi việc, mất việc
下海	bỏ nghề nhà nước đi kinh doanh
下级	cấp dưới
下决心	quyết tâm
下令	ra lệnh
下落	tung tích
下期	kỳ sau
下棋	đánh cờ
下山	xuống núi
下手	ra tay, bắt tay vào
下属	cấp dưới, thuộc hạ
下台	hạ đài, từ chức
下调	hạ xuống, điều chỉnh giảm
下乡	về nông thôn
下旬	hạ tuần
下一代	thế hệ sau
下意识	tiềm thức
下游	hạ lưu
下坠	rơi xuống, trĩu xuống
吓唬	dọa nạt
吓人	đáng sợ, hù dọa
夏令营	trại hè
仙鹤	hạc tiên
仙女	tiên nữ
先例	tiền lệ
先天	bẩm sinh
纤维	sợi, chất xơ
掀起	dấy lên, khơi lên
鲜活	tươi sống, sinh động
鲜美	tươi ngon
鲜血	máu tươi
衔接	kết nối, ăn khớp
嫌弃	ghét bỏ, chê bỏ
嫌疑	nghi ngờ, tình nghi
显而易见	rõ ràng, hiển nhiên
显赫	hiển hách, lừng lẫy
显示器	màn hình
显现	hiện ra, hiển hiện
显眼	nổi bật, dễ thấy
现成	có sẵn
现任	đương nhiệm
现行	hiện hành
限定	giới hạn, quy định
限度	giới hạn, mức độ
限于	chỉ giới hạn trong
线条	đường nét
宪法	hiến pháp
陷阱	cạm bẫy
馅儿	nhân (bánh)
羡慕	ngưỡng mộ, ghen tị
献血	hiến máu
乡亲	đồng hương, bà con làng xóm
乡下	nông thôn
相伴	đồng hành, cùng nhau
相比之下	so ra thì
相差	chênh lệch
相传	tương truyền
相当于	tương đương với
相对	tương đối, đối lập
相对而言	tương đối mà nói
相辅相成	bổ sung hỗ trợ lẫn nhau
相继	liên tiếp, nối tiếp nhau
相连	liên kết, nối liền
相识	quen biết nhau
相提并论	đánh đồng, so sánh ngang hàng
相通	thông nhau, liên thông
相依为命	nương tựa vào nhau mà sống
相遇	gặp gỡ
相约	hẹn nhau
香料	hương liệu, gia vị
香水	nước hoa
香味	mùi thơm
香烟	thuốc lá, khói hương
香油	dầu mè, dầu thơm
镶嵌	khảm, nạm
详尽	tỉ mỉ, chi tiết đầy đủ
祥和	an lành, hòa thuận
享有	được hưởng
响亮	vang dội, rõ ràng
响起	vang lên
响应	hưởng ứng, đáp lại
想方设法	tìm mọi cách
向来	xưa nay, vốn dĩ
向往	khao khát, hướng tới
向着	hướng về, hướng tới
项链	dây chuyền
像样	ra dáng, tươm tất
橡胶	cao su
橡皮	cục tẩy
消沉	chán nản, suy sụp
消遣	giải trí, tiêu khiển
萧条	tiêu điều, suy thoái
销毁	tiêu hủy
销量	lượng tiêu thụ, doanh số bán
潇洒	phóng khoáng, tự tại
小丑	thằng hề
小贩	người bán hàng rong
小看	coi thường
小康	khá giả
小路	đường mòn, lối nhỏ
小品	tiểu phẩm
小气	keo kiệt, nhỏ nhen
小区	khu dân cư
小曲	làn điệu dân ca
小人	kẻ tiểu nhân
小提琴	đàn violin
小溪	con suối nhỏ
小心翼翼	hết sức cẩn thận
小卒	lính quèn, nhân vật nhỏ bé
孝敬	hiếu kính
孝顺	hiếu thảo
肖像	chân dung
效力	hiệu lực, phục vụ
效益	hiệu quả, lợi ích
效应	hiệu ứng
协定	hiệp định
协同	hợp tác, phối hợp
协作	hợp tác, cộng tác
邪恶	tà ác, độc ác
挟持	khống chế, bắt giữ
携带	mang theo
携手	tay trong tay, cùng hợp tác
写照	miêu tả chân thực
泄漏	rò rỉ, tiết lộ
泄露	tiết lộ, để lộ
泄密	tiết lộ bí mật
泄气	nản chí, xì hơi
心爱	yêu quý
心安理得	yên tâm, thanh thản
心病	nỗi lo canh cánh, tâm bệnh
心肠	tấm lòng, tâm địa
心得	kinh nghiệm, tâm đắc
心慌	hoảng loạn, bồn chồn
心里话	tâm sự, lời gan ruột
